Date,Nifty_Previous_Close,Nifty_Open,Open_Change,Nifty_Low,Nifty_High,Nifty_Close,Close_Change,Close_Change_%,Volume
2026-06-23,24102.9,24071.3,-31.6,23784.95,24135.5,23824.1,-278.8,-1.16,340100
2026-06-24,23824.1,23795.8,-28.3,23789.25,24090.05,24021.65,197.55,0.83,395600
2026-06-25,24021.65,24125.85,104.2,24039.0,24261.6,24056.0,34.35,0.14,448800
2026-06-29,24056.0,24061.75,5.75,23924.55,24120.0,23946.25,-109.75,-0.46,588500
2026-06-30,23946.25,24032.05,85.8,23829.2,24035.55,23865.75,-80.5,-0.34,449000
2026-07-01,23865.75,23897.65,31.9,23895.1,24049.9,24005.85,140.1,0.59,352100
2026-07-02,24005.85,24062.2,56.35,24058.8,24194.55,24175.7,169.85,0.71,372900
2026-07-03,24175.7,24375.65,199.95,24252.35,24378.15,24270.85,95.15,0.39,326600
2026-07-06,24270.85,24306.85,36.0,24287.1,24458.65,24430.35,159.5,0.66,329400
2026-07-07,24430.35,24464.45,34.1,24348.95,24530.9,24398.7,-31.65,-0.13,412600
2026-07-08,24398.7,24259.55,-139.15,23805.2,24300.0,23882.05,-516.65,-2.12,420500
2026-07-09,23882.05,23928.95,46.9,23925.7,24134.7,23962.8,80.75,0.34,384800
2026-07-10,23962.8,24124.7,161.9,24120.35,24228.45,24206.9,244.1,1.02,313100
2026-07-13,24206.9,24039.4,-167.5,24000.2,24259.8,24211.0,4.1,0.02,322700
2026-07-14,24211.0,24068.0,-143.0,24023.7,24157.1,24052.05,-158.95,-0.66,355800
2026-07-15,24052.05,24085.85,33.8,24010.55,24220.35,24078.5,26.45,0.11,306900
2026-07-16,24078.5,24142.1,63.6,24050.0,24186.5,24072.75,-5.75,-0.02,264300
2026-07-17,24072.75,24127.6,54.85,24099.05,24367.3,24334.3,261.55,1.09,387800
2026-07-20,24334.3,24190.05,-144.25,24135.85,24266.1,24238.5,-95.8,-0.39,353100
2026-07-21,24238.5,24216.05,-22.45,24135.65,24262.2,24187.7,-50.8,-0.21,315600
2026-07-22,24187.7,24150.45,-37.25,23961.4,24166.3,23996.25,-191.45,-0.79,304700
2026-07-23,23996.25,23904.8,-91.45,23807.2,23990.75,23869.6,-126.65,-0.53,344000
2026-07-24,23869.6,23666.35,-203.25,23606.3,23823.6,23767.45,-102.15,-0.43,333900
2026-07-27,23767.45,23928.4,160.95,23891.55,24011.6,23995.95,228.5,0.96,319400
2026-07-28,23995.95,23971.25,-24.7,23954.6,24041.15,23985.35,-10.6,-0.04,437800
2026-07-29,23985.35,24176.65,191.3,24136.75,24283.55,24250.2,264.85,1.1,424200
2026-07-30,24250.2,24249.55,-0.65,24187.1,24342.95,24317.15,66.95,0.28,400600
2026-07-31,24317.15,24361.45,44.3,24299.7,24429.4,24383.6,66.45,0.27,411700
2026-08-03,24383.6,24572.7,189.1,24515.15,24774.3,24774.3,390.7,1.6,342300
2026-08-04,24774.3,24703.9,-70.4,24427.95,24703.9,24614.9,-159.4,-0.64,296500
2026-08-05,24614.9,24669.2,54.3,24497.95,24677.6,24624.65,9.75,0.04,355500
2026-08-06,24624.65,24641.0,16.35,24604.15,24677.05,24636.0,11.35,0.05,344000
2026-08-07,24636.0,24538.9,-97.1,24522.75,24630.4,24570.65,-65.35,-0.27,254800
2026-08-10,24570.65,24581.25,10.6,24511.1,24620.95,24583.8,13.15,0.05,269500
2026-08-11,24583.8,24575.1,-8.7,24429.25,24576.85,24471.7,-112.1,-0.46,271800
2026-08-12,24471.7,24472.45,0.75,24265.95,24473.3,,,,0
